OperatorName,StrippedBinarySize,CompilationTime(sec)
aten::_native_batch_norm_legit_no_training.out,240040,10.783910266
aten::add.out,272808,12.050098299
aten::add.Scalar_out,244136,10.874680947
aten::addmm.out,309672,9.145659979
aten::atan2.out,248232,9.029975684
aten::bitwise_and.Scalar_out,244136,8.624667823
aten::bitwise_and.Tensor_out,268712,9.366844978
aten::bitwise_or.Scalar_out,244136,11.611378166
aten::bitwise_or.Tensor_out,268712,11.100944504
aten::bitwise_xor.Scalar_out,244136,12.503584425
aten::bitwise_xor.Tensor_out,268712,22.379263282
aten::clamp.out,252328,21.099024357
aten::clamp.Tensor_out,264616,24.349326869
aten::clone.out,231848,21.353894402
aten::convolution.out,281000,20.223664875
aten::copy.out,260520,17.648115877
aten::copy_,260520,11.695047298
aten::cumsum.out,248232,14.167341090
aten::div.out,248232,17.753862231
aten::div.out_mode,281000,21.914661970
aten::div.Scalar_out,235944,21.457229812
aten::div.Scalar_mode_out,252328,11.412805730
aten::elu.out,244136,8.582079388
aten::eq.Scalar_out,252328,8.698962970
aten::eq.Tensor_out,289192,8.367917223
aten::floor_divide.out,268712,9.369745304
aten::fmod.Scalar_out,235944,9.194023702
aten::fmod.Tensor_out,252328,8.595803614
aten::glu.out,424360,9.143460729
aten::ge.Scalar_out,252328,8.879500151
aten::ge.Tensor_out,289192,9.658579026
aten::gt.Scalar_out,252328,11.334879872
aten::gt.Tensor_out,289192,12.091876700
aten::hardtanh.out,240040,15.763218170
aten::permute_copy.out,235944,20.213812994
aten::le.Scalar_out,252328,19.144741430
aten::le.Tensor_out,289192,22.545424227
aten::logical_and.out,240040,18.471867534
aten::logical_or.out,240040,22.136812266
aten::logical_xor.out,240040,17.106711061
aten::lt.Scalar_out,252328,12.124580983
aten::lt.Tensor_out,289192,14.225566727
aten::maximum.out,268712,20.331862145
aten::mean.out,330152,18.445029496
aten::minimum.out,268712,19.886362822
aten::mul.out,281000,14.654993590
aten::mul.Scalar_out,244136,11.293115894
aten::native_dropout.out,264616,11.091613381
aten::ne.Scalar_out,252328,11.041297025
aten::ne.Tensor_out,289192,11.183737447
aten::neg.out,248232,10.979328697
aten::pow.Scalar_out,235944,11.399824213
aten::pow.Tensor_Scalar_out,235944,10.731651009
aten::pow.Tensor_Tensor_out,252328,11.435955783
aten::sigmoid.out,235944,11.191428000
aten::sub.out,268712,11.120935617
aten::sub.Scalar_out,244136,11.125269064
aten::sum.IntList_out,436648,11.377036180
aten::remainder.Scalar_out,248232,10.990093968
aten::remainder.Tensor_out,272808,11.190724554
aten::rsub.Scalar_out,244136,11.853404212
aten::view_as_real_copy.out,231848,9.418666141
aten::view_copy.out,231848,9.368339227
aten::where.self_out,256424,8.362881647
